Year,Song type,Frequency of A,Song type,Frequency of B,Song type,Frequency of C
1983,A,0.5,B,0.5,C,0
1984,A,0.75,B,0.25,C,0
1985,A,.,B,.,C,.
1986,A,0.7,B,0,C,0.3
1987,A,0.8,B,0.2,C,0
1988,A,.,B,.,C,.
1989,A,.,B,.,C,.
1990,A,0.75,B,0,C,0.25
1991,A,0.55,B,0,C,0.45
1992,A,0.25,B,0,C,0.75
1993,A,0.08,B,0,C,0.92
1994,A,.,B,.,C,.
1995,A,0,B,0,C,1
1996,A,.,B,.,C,.
1997,A,0,B,0.1,C,0.9
1998,A,0,B,0,C,1
1999,A,.,B,.,C,.
2000,A,0,B,0.1,C,0.9
