Years,fortis,scandens, , , , 
1976,280,150,,,,
1977,0,85,,,,
1978,130,100,,,,
1979,120,70,, , , 
1980,135,125,, , ,
1981,165,125,,,,
1982,75,95,,,,
1983,400,250,,,,
1984,325,200,,,,
1985,0,0,,,,
1986,30,20,,,,
1987,200,50,,,,
1988,0,2,,,,
1989,0,2,,,,
1990,110,10,,,,
1991,225,25,,,,
