offspring bands,species,Family,Mid-offspring,maleband,male BL,femband,fem BL,Mid-parent,,,
8952.33,scandens,97,13.63,4151,14.7,4631,12.6,13.65,,,
12115,scandens,98,14.67,4223,15.1,2873,15.7,15.4,,,
15119,scandens,99,14,4223,15.1,5351,13.6,14.35,,,
4777.5,scandens,100,13.55,4369,14.8,2489,14.3,14.55,,,
13798,scandens,101,12.35,4369,14.8,10574,13.05,13.925,,,
10003,scandens,102,14.9,4376,15,5271,14.4,14.7,,,
4825,scandens,103,13.85,4389,15.6,2594,14,14.8,,,
6992,scandens,104,14.17,4577,15.1,4007,15.2,15.15,,,
14923,scandens,105,13.43,4577,15.1,5576,13.8,14.45,,,
10533,scandens,106,14,4657,15,4170,14.7,14.85,,,
14975.83,scandens,107,13.83,4683,13.6,10001,13.4,13.5,,,
16986,scandens,108,13.85,4706,14.8,14759,14,14.4,,,
13559.5,scandens,109,14,4744,14.35,2543,14.2,14.275,,,
14897.17,scandens,110,14.29,4778,13.7,364,14,13.85,,,
13216.5,scandens,111,14.1,4778,13.7,5751,13.9,13.8,,,
16973.5,scandens,112,13.55,4778,13.7,15798,13.15,13.425,,,
5551,scandens,113,13,4824,14.4,4629,13.2,13.8,,,
15676,scandens,114,14.9,5013,14.8,5582,15.1,14.95,,,
9847,scandens,115,14.13,5279,14.3,4221,14.5,14.4,,,
13888,scandens,116,13.9,5322,14,5751,13.9,13.95,,,
15121,scandens,117,14,5345,14.95,13548,14.3,14.625,,,
14646.5,scandens,118,14.43,5608,15.8,5375,14,14.9,,,
18485,scandens,119,14.6,5608,15.8,15704,12.3,14.05,,,
15716.67,scandens,120,11.9,5656,14.9,14612,9.3,12.1,,,
13747,scandens,121,13.2,5661,14.6,10919,14.2,14.4,,,
10175,scandens,122,14.3,7008,15,1865,14.9,14.95,,,
13805,scandens,123,14.65,7008,15,5315,15.6,15.3,,,
10904,scandens,124,14,8036,15.4,2759,14.1,14.75,,,
5594.5,scandens,125,14,8163,15.2,3443,14.7,14.95,,,
4236,scandens,126,14.37,8163,15.2,4064,14.3,14.75,,,
10067,scandens,127,14.1,8427,15.3,4684,13.85,14.575,,,
10174,scandens,128,15.2,8443,14,4629,13.2,13.6,,,
14755,scandens,129,13.6,8443,14,5582,15.1,14.55,,,
4983,scandens,130,13.8,8450,14.9,2487,14.1,14.5,,,
10740,scandens,131,14.75,8450,14.9,2540,13.2,14.05,,,
17481.5,scandens,132,14.35,10061,15.2,5582,15.1,15.15,,,
15428,scandens,133,14.5,10105,14.9,8441,14.1,14.5,,,
17281.5,scandens,134,14.4,10105,14.9,15639,14.2,14.55,,,
15602.75,scandens,135,14.14,10174,15.2,10743,13.8,14.5,,,
17519,scandens,136,14.3,10174,15.2,13548,14.3,14.75,,,
16956,scandens,137,13.23,10206,13.4,15237,13,13.2,,,
15635,scandens,138,13.9,10207,14.15,14576,13.8,13.975,,,
15352,scandens,139,13.5,10223,15.2,14576,13.8,14.5,,,
15139.67,scandens,140,14.08,10268,14.5,8441,14.1,14.3,,,
17956,scandens,141,13.7,10268,14.5,14758,13.8,14.15,,,
17366,scandens,142,11.07,10394,12.1,16044,10.75,11.425,,,
14862,scandens,143,15.25,10517,15,10743,13.8,14.4,,,
18660,scandens,144,14.1,13256,15.35,17795,13.3,14.325,,,
14584,scandens,145,15,13257,14.5,10002,14.6,14.55,,,
15334.5,scandens,146,14.58,14524,15.3,4221,14.5,14.9,,,
16824.75,scandens,147,14.46,14524,15.3,14576,13.8,14.55,,,
17365.5,scandens,148,13.78,14584,15,15725,11.5,13.25,,,
17478,scandens,149,12.31,14755,13.6,15718,10.75,12.175,,,
18779,scandens,150,12.3,14755,13.6,16568,12.15,12.875,,,
17673.5,scandens,151,14.1,15736,15,15235,14,14.5,,,
17474.5,scandens,152,14.2,15817,14.8,5351,13.6,14.2,,,
17002.5,scandens,153,13.43,15901,14.5,15704,12.3,13.4,,,
17504.5,scandens,154,13.75,15986,14.2,14758,13.8,14,,,
5706,scandens,155,14.05,17548,13.9,2540,13.2,13.55,,,
17374,scandens,156,13,17548,13.9,15725,11.5,12.7,,,
18133.5,scandens,157,13.8,17685,14,18833,14.6,14.3,,,
18501,scandens,158,11.55,17953,11.1,17795,13.3,12.2,,,
18812,scandens,159,12.95,18535,13.3,18834,13.5,13.4,,,
