Year,magnirostris pairs
1983,3
1984,2
1985,1
1986,1
1987,3
1988,3
1989,3
1990,3
1991,4
1992,10
1993,9
1994,9
1995,13
1996,10
1997,7
1998,30
1999,27
2000,24
2001,20
2002,18
2003,30
2004,20
2005,4
2006,18
2007,8
2008,8
2009,17
2010,50
2011,50
2012,50
