Recruits/parent,Year,fortis,scandens,Recruits/parent,Year,fortis,scandens
0,1975,0.66,0.57,0,1978,0.45,0.44
1,1975,0.07,0.05,1,1978,0.12,0.16
2,1975,0.07,0.11,2,1978,0.06,0.16
3,1975,0.06,0,3,1978,0.12,0.11
4,1975,0.05,0.06,4,1978,0.05,0.05
5,1975,0,0.1,5,1978,0.04,0.02
6,1975,0.01,0.06,6,1978,0.05,0.04
7,1975,0.02,0,7,1978,0.05,0.01
8,1975,0.04,0.05,8,1978,0.03,0
9,1975,0.01,0,9,1978,0.01,0
10,1975,0.01,0,10,1978,0,0.01
11,1975,0,0,11,1978,0.02,0
