Species,Trait,Predicted,Observed,Species,Trait,Predicted,Observed,Species,Trait,Predicted,Observed,Species,Trait,Predicted,Observed
fortis,shape,-0.25,-0.58,fortis,size,-0.85,-0.78,scandens,shape,-0.06,-0.13,scandens,size,0.02,-0.38
fortis,shape,0.05,0.1,fortis,size,-0.22,-0.2,,,,,scandens,size,0.05,0.27
fortis,shape,0.12,0.17,fortis,size,0.05,-0.12,,,,,scandens,size,0.42,0.31
,,,,fortis,size,-0.08,0,,,,,scandens,size,0.08,-0.42
,,,,fortis,size,0.58,0.6,,,,,,,,
