Year,Beak shape,SE,year2,beak shape 2,SE2,year3,beak shape 3,SE3
1983,-0.95,0.05,1984,-0.25,0.3,1992,0.15,0.23
.,.,.,1985,-0.4,0.18,1993,0.15,0.15
.,.,.,1986,-0.3,0.3,1994,0.31,0.15
.,.,.,1987,0.05,0.18,1995,0.41,0.17
.,.,.,1988,-0.15,0.28,1996,0.31,0.15
.,.,.,1989,-0.25,0.3,1997,0.25,0.27
.,.,.,1990,-0.35,0.3,1998,0.25,0.3
.,.,.,1991,-0.35,0.3,1999,0.34,0.16
.,.,.,.,.,.,2000,0.38,0.2
