Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2
fortis early,-1.376719215,0.128459996,fortis late,-0.68450444,-0.304322758,,,,magnirostris late,-0.403208214,3.400583093,scandens early,1.368322902,1.710256557,scandens late,1.28732233,-0.301821902
fortis early,-1.376219827,0.109303549,fortis late,-0.66767083,-0.603173343,,,,magnirostris late,-0.397933407,1.384806608,scandens early,1.466125042,1.218688387,scandens late,1.291389932,-0.664311297
fortis early,-1.372677032,0.501393697,fortis late,-0.666841411,-0.872892019,,,,magnirostris late,-0.379888268,1.528306562,scandens early,1.477441237,0.624216153,scandens late,1.297513073,-1.305027293
fortis early,-1.360536871,-0.034528962,fortis late,-0.601097112,-0.314300196,,,,magnirostris late,-0.358073927,1.182736112,scandens early,1.520427532,1.852663669,scandens late,1.31603997,-0.993252051
fortis early,-1.337848931,-0.434627497,fortis late,-0.599017883,-0.250808603,,,,magnirostris late,-0.334266569,1.397223008,scandens early,1.526288466,-0.433978824,scandens late,1.328016228,-1.041641069
fortis early,-1.336871745,-0.354673779,fortis late,-0.593329274,-0.348135236,,,,magnirostris late,-0.306776273,2.807162683,scandens early,1.534534027,0.823653761,scandens late,1.3440615,-0.881284867
fortis early,-1.277930392,-0.364952234,fortis late,-0.587591638,-0.721374567,,,,magnirostris late,-0.265074143,1.455655918,scandens early,1.538786295,2.07789106,scandens late,1.349639816,-0.863929299
fortis early,-1.277264663,-0.034905154,fortis late,-0.579684484,-0.721909227,,,,magnirostris late,-0.248045524,1.833170298,scandens early,1.540040946,-0.643371181,scandens late,1.370867664,-0.262558398
fortis early,-1.267968421,-0.151289579,fortis late,-0.546127656,-0.222234996,,,,magnirostris late,-0.196937583,1.563985872,scandens early,1.593472428,1.780273459,scandens late,1.393044263,-1.127515773
fortis early,-1.264243581,-0.188451182,fortis late,-0.53830008,-0.720795909,,,,magnirostris late,-0.193809009,1.511558198,scandens early,1.596106166,0.815863933,scandens late,1.422576053,-0.397233721
fortis early,-1.260883181,-0.219083437,fortis late,-0.458432261,-1.019106862,,,,magnirostris late,-0.154986423,1.193706666,scandens early,1.597167715,0.511897296,scandens late,1.45359177,-0.898491126
fortis early,-1.257982241,-0.361368218,fortis late,-0.437057241,-0.840697853,,,,magnirostris late,-0.134261342,1.345907945,scandens early,1.605024794,2.568247283,scandens late,1.459366606,-0.486613748
fortis early,-1.230824668,-0.425729541,fortis late,-0.433951211,-0.816248679,,,,magnirostris late,-0.105462241,1.581825527,scandens early,1.619707387,2.413752178,scandens late,1.495543521,-0.754344918
fortis early,-1.195008289,0.240214422,fortis late,-0.427914268,-0.863003136,,,,magnirostris late,-0.105462241,1.581825527,scandens early,1.658510025,2.506421763,scandens late,1.499171483,-0.547378236
fortis early,-1.193711837,0.414678816,fortis late,-0.403032981,-0.160664259,,,,magnirostris late,-0.079307087,3.104923753,scandens early,1.669103833,1.596374632,scandens late,1.532521254,-0.62172889
fortis early,-1.190451887,0.067761411,fortis late,-0.399583397,-0.80163519,,,,magnirostris late,-0.020961521,2.150004825,scandens early,1.669824279,-0.514774759,scandens late,1.532521254,-0.62172889
fortis early,-1.190002889,0.058038358,fortis late,-0.366268805,-0.312670296,,,,magnirostris late,-0.013986899,1.599665181,scandens early,1.672731986,-0.30912542,scandens late,1.53386495,-0.394308731
fortis early,-1.183507214,-0.050046442,fortis late,-0.326671086,-0.260781232,,,,magnirostris late,-0.013611711,1.602524799,scandens early,1.676535971,2.988477927,scandens late,1.55349734,-0.671943186
fortis early,-1.179532307,-0.099918799,fortis late,-0.319768596,-0.628880835,,,,magnirostris late,0.068647928,1.548754823,scandens early,1.694623784,1.678320458,scandens late,1.559489766,-0.882768524
fortis early,-1.177657637,-0.349518486,fortis late,-0.31468825,-1.061316149,,,,magnirostris late,0.07974755,1.634656748,scandens early,1.7307688,0.784677306,scandens late,1.563904528,-0.968997792
fortis early,-1.176396941,-1.265299205,fortis late,-0.300071087,-0.370946347,,,,magnirostris late,0.087593372,3.540924795,scandens early,1.733912989,1.02839469,scandens late,1.585539988,-0.957046063
fortis early,-1.158566939,0.565062931,fortis late,-0.299125037,-0.805984582,,,,magnirostris late,0.092898443,1.731597097,scandens early,1.766746052,0.607410125,scandens late,1.588852885,-0.744619132
fortis early,-1.154141487,-1.288364507,fortis late,-0.297815045,-0.504934105,,,,magnirostris late,0.257763541,3.50758494,scandens early,1.771653324,-0.732855494,scandens late,1.60003256,-0.955565056
fortis early,-1.146403922,1.277160493,fortis late,-0.293844113,-1.14836437,,,,,,,scandens early,1.797241455,2.149021899,scandens late,1.615368579,-0.875098968
fortis early,-1.118209797,-1.101660144,fortis late,-0.2777576,-1.135052374,,,,,,,scandens early,1.822244142,0.802516961,scandens late,1.679803321,-0.944364637
fortis early,-1.114567002,-0.86964617,fortis late,-0.249166213,-1.175730784,,,,,,,scandens early,1.833767914,1.897214628,scandens late,1.683984908,-0.780069454
fortis early,-1.108953067,0.065515158,fortis late,-0.215850691,-0.89546338,,,,,,,scandens early,1.833961015,1.217632438,scandens late,1.697770755,-1.028946502
fortis early,-1.103559431,0.261205581,fortis late,-0.17058957,-0.788730939,,,,,,,scandens early,1.842005325,1.449063582,scandens late,1.699619765,-1.202700547
fortis early,-1.096503358,0.036819975,fortis late,-0.163296865,-0.806559416,,,,,,,scandens early,1.850524964,0.922400977,scandens late,1.708843095,-0.969116041
fortis early,-1.092031872,-0.032206787,fortis late,-0.120715144,-0.639357885,,,,,,,scandens early,1.870471129,2.587313913,scandens late,1.718098331,-0.797561159
fortis early,-1.086261875,-0.943463256,fortis late,-0.080033112,-0.747227054,,,,,,,scandens early,1.896693144,2.051436266,scandens late,1.719926695,-0.882427559
fortis early,-1.073422197,-0.221136507,fortis late,-0.067632935,-0.883885677,,,,,,,scandens early,1.94339915,1.009167037,scandens late,1.750853582,-1.362145205
fortis early,-1.060308305,-0.31523706,fortis late,-0.035215052,-0.604647118,,,,,,,scandens early,1.943972524,-0.220128311,scandens late,1.759661496,-0.708480014
fortis early,-1.058824196,-1.01038547,fortis late,0.002404613,-0.419249167,,,,,,,scandens early,1.95974318,2.716383709,scandens late,1.769235665,-0.727966378
fortis early,-1.053000758,-0.863320248,fortis late,0.056024058,-0.70801898,,,,,,,scandens early,2.062639607,2.365714155,scandens late,1.784498576,-0.730177418
fortis early,-1.04952793,-0.476847366,fortis late,0.079484023,-0.888460867,,,,,,,scandens early,2.080985841,2.537960555,scandens late,1.789246097,-1.011106848
fortis early,-1.015567171,-0.406183471,fortis late,0.098393473,-0.56052741,,,,,,,scandens early,2.246763817,2.955983727,scandens late,1.789617399,-1.19142121
fortis early,-1.001959931,0.00544624,fortis late,0.110844758,-0.457589069,,,,,,,scandens early,2.344465805,2.699407749,scandens late,1.793856067,-0.777180048
fortis early,-1.000797644,-0.011059661,fortis late,0.113931818,-0.728455135,,,,,,,,,,scandens late,1.838052685,-0.634665133
fortis early,-0.998786234,-0.037579378,fortis late,0.130622637,-0.518945082,,,,,,,,,,scandens late,1.842778249,-0.456169773
fortis early,-0.958341354,-0.423272339,fortis late,0.132512113,-0.389674337,,,,,,,,,,scandens late,1.855362242,-1.018174262
fortis early,-0.955966323,-0.249075114,fortis late,0.157827223,-0.88145437,,,,,,,,,,scandens late,1.859966014,-0.903527099
fortis early,-0.935296661,-0.677295147,fortis late,0.165505148,-0.387441063,,,,,,,,,,scandens late,1.873141918,-0.662004408
fortis early,-0.934171507,-1.273241953,fortis late,0.17051785,-0.69836424,,,,,,,,,,scandens late,1.901552518,-0.428181367
fortis early,-0.93136492,-0.057865959,fortis late,0.17058844,-0.966676781,,,,,,,,,,scandens late,1.966728061,-0.481238733
fortis early,-0.920655899,0.303183673,fortis late,0.177402419,-0.6500389,,,,,,,,,,scandens late,2.083521937,-1.30861024
fortis early,-0.920003057,0.249460866,fortis late,0.177402419,-0.6500389,,,,,,,,,,scandens late,2.255525562,-1.063323436
fortis early,-0.918659025,0.19210353,fortis late,0.201535515,-1.069178899,,,,,,,,,,scandens late,2.340716447,-1.514799438
fortis early,-0.91762306,-0.149290583,fortis late,0.210024823,-0.464141813,,,,,,,,,,scandens late,3.053286318,-1.423263122
fortis early,-0.917484508,0.156795188,fortis late,0.223450482,-0.632868218,,,,,,,,,, ,,
fortis early,-0.914694758,-0.167079808,fortis late,0.262858735,-0.673517716,,,,,,,,,, ,,
fortis early,-0.910431189,-0.192103857,fortis late,0.292021732,-0.504393497,,,,,,,,,,,,
fortis early,-0.894981813,-0.147724818,fortis late,0.296149449,-0.5001187,,,,,,,,,,,,
fortis early,-0.890809133,-0.938794717,fortis late,0.302447374,-1.077480726,,,,,,,,,,,,
fortis early,-0.884460848,-0.326869485,fortis late,0.317338061,-0.854574848,,,,,,,,,,,,
fortis early,-0.8677553,-0.4016542,fortis late,0.321737795,-0.632507701,,,,,,,,,,,,
fortis early,-0.839459522,0.179435913,fortis late,0.435804625,-0.553553204,,,,,,,,,,,,
fortis early,-0.828981415,0.298952803,fortis late,0.568845527,-0.445859232,,,,,,,,,,,,
fortis early,-0.803524262,-0.257519934,fortis late,0.58018804,-0.93595283,,,,,,,,,,,,
fortis early,-0.787026245,0.409933203,fortis late,0.606799973,-0.543143374,,,,,,,,,,,,
fortis early,-0.761042538,-0.764235468,fortis late,0.608809439,0.146911927,,,,,,,,,,,,
fortis early,-0.740783,-0.074715976,fortis late,0.652612106,-0.900424222,,,,,,,,,,,,
fortis early,-0.729647457,0.091823662,fortis late,0.736813254,-0.624556484,,,,,,,,,,,,
fortis early,-0.719175074,1.191450826,fortis late,0.745380037,0.792231216,,,,,,,,,,,,
fortis early,-0.700722138,-0.294895075,fortis late,0.770383733,-0.23652643,,,,,,,,,,,,
fortis early,-0.667709852,-0.402384647,fortis late,0.834893706,-0.677810657,,,,,,,,,,,,
fortis early,-0.665972455,-0.442304966,fortis late,0.835146311,-0.890729517,,,,,,,,,,,,
fortis early,-0.656731368,0.98178817,fortis late,1.009696556,-0.59394131,,,,,,,,,,,,
fortis early,-0.598684972,0.617618401,fortis late,1.132030328,-0.675249808,,,,,,,,,,,,
fortis early,-0.566627641,0.071156047,fortis late,1.273976685,1.253920423,,,,,,,,,,,,
fortis early,-0.522875001,-1.221191418,fortis late,1.286619415,-1.21058459,,,,,,,,,,,,
fortis early,-0.517771454,-0.259215765,,,,,,,,,,,,,,,
fortis early,-0.465367722,-0.961452496,,,,,,,,,,,,,,,
fortis early,-0.454905469,-0.092163734,,,,,,,,,,,,,,,
fortis early,-0.451800418,-0.110081398,,,,,,,,,,,,,,,
fortis early,-0.440639547,-0.831830156,,,,,,,,,,,,,,,
fortis early,-0.439328979,0.022324152,,,,,,,,,,,,,,,
fortis early,-0.437605103,-0.058526545,,,,,,,,,,,,,,,
fortis early,-0.421228956,-0.164032954,,,,,,,,,,,,,,,
fortis early,-0.418496801,-0.885507887,,,,,,,,,,,,,,,
fortis early,-0.409489302,-0.31623441,,,,,,,,,,,,,,,
fortis early,-0.359691968,-0.095834067,,,,,,,,,,,,,,,
fortis early,-0.327508468,-0.257040467,,,,,,,,,,,,,,,
fortis early,-0.318408611,0.318688719,,,,,,,,,,,,,,,
fortis early,-0.274458683,-0.924221137,,,,,,,,,,,,,,,
fortis early,-0.254106557,-0.805018544,,,,,,,,,,,,,,,
fortis early,-0.227114257,-0.73954563,,,,,,,,,,,,,,,
fortis early,-0.170349788,-0.820997821,,,,,,,,,,,,,,,
fortis early,-0.154993474,-0.173058416,,,,,,,,,,,,,,,
fortis early,-0.140267611,0.486863227,,,,,,,,,,,,,,,
fortis early,-0.085899049,-0.03872278,,,,,,,,,,,,,,,
fortis early,-0.072770626,-0.477898976,,,,,,,,,,,,,,,
fortis early,-0.007505788,0.274175488,,,,,,,,,,,,,,,
fortis early,0.044107359,-0.332626798,,,,,,,,,,,,,,,
fortis early,0.04858102,-0.819020482,,,,,,,,,,,,,,,
fortis early,0.10055172,0.963949884,,,,,,,,,,,,,,,
fortis early,0.105814918,-0.153082066,,,,,,,,,,,,,,,
fortis early,0.210043317,0.889497184,,,,,,,,,,,,,,,
fortis early,0.242797369,0.533159519,,,,,,,,,,,,,,,
fortis early,0.249558995,0.516811073,,,,,,,,,,,,,,,
fortis early,0.265445762,0.121520226,,,,,,,,,,,,,,,
fortis early,0.311900709,0.872672798,,,,,,,,,,,,,,,
fortis early,0.394847144,0.441278973,,,,,,,,,,,,,,,
fortis early,0.504812407,1.827190499,,,,,,,,,,,,,,,
fortis early,0.548311773,0.737653033,,,,,,,,,,,,,,,
fortis early,0.591198702,0.836493131,,,,,,,,,,,,,,,
fortis early,0.759759946,0.005338131,,,,,,,,,,,,,,,
fortis early,0.869817799,0.821187651,,,,,,,,,,,,,,,
fortis early,0.882191103,-0.891235953,,,,,,,,,,,,,,,
fortis early,1.023103027,1.261076356,,,,,,,,,,,,,,,
