Family,Mid-offspring,Mid-parents
1,10.7,10.5
2,9.5,9.54
3,9,9.05
4,7.65,9
5,9.4,9.9
6,8.75,9.05
7,7.6,8.35
8,8.1,8.75
9,9.5,9.2
10,9.9,10.15
11,8.4,8.65
12,8.75,9.1
13,9.6,10.15
14,9.7,10.03
15,9,9.5
16,8.7,8.95
17,8.1,8.05
18,9.3,9.08
19,8.6,10.75
20,8,8.17
21,8.5,9.7
22,8.3,8.8
,,
,,
 , ,
