Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent,Age classes,Year,species,sex,Percent
1,1983,scandens,male,0,1,1983,scandens,female,0,1,1983,fortis,male,0,1,1983,fortis,female,0,1,1984,scandens,male,-45,1,1984,scandens,female,75,1,1984,fortis,male,-52,1,1984,fortis,female,77
2,1983,scandens,male,-20,2,1983,scandens,female,15,2,1983,fortis,male,-30,2,1983,fortis,female,23,2,1984,scandens,male,0,2,1984,scandens,female,0,2,1984,fortis,male,0,2,1984,fortis,female,0
3,1983,scandens,male,-2,3,1983,scandens,female,2,3,1983,fortis,male,0,3,1983,fortis,female,0,3,1984,scandens,male,-12,3,1984,scandens,female,6,3,1984,fortis,male,-11,3,1984,fortis,female,7
4,1983,scandens,male,-8,4,1983,scandens,female,13,4,1983,fortis,male,-5,4,1983,fortis,female,5,4,1984,scandens,male,0,4,1984,scandens,female,4,4,1984,fortis,male,0,4,1984,fortis,female,0
5,1983,scandens,male,-30,5,1983,scandens,female,45,5,1983,fortis,male,-45,5,1983,fortis,female,40,5,1984,scandens,male,-3,5,1984,scandens,female,0,5,1984,fortis,male,-3,5,1984,fortis,female,0
6,1983,scandens,male,0,6,1983,scandens,female,0,6,1983,fortis,male,0,6,1983,fortis,female,1,6,1984,scandens,male,-15,6,1984,scandens,female,12,6,1984,fortis,male,-21,6,1984,fortis,female,12
7,1983,scandens,male,-40,7,1983,scandens,female,25,7,1983,fortis,male,-20,7,1983,fortis,female,30,7,1984,scandens,male,0,7,1984,scandens,female,0,7,1984,fortis,male,0,7,1984,fortis,female,0
,,,,,,,,,,,,,,,,,,,,8,1984,scandens,male,-25,8,1984,scandens,female,3,8,1984,fortis,male,-13,8,1984,fortis,female,4
