Year,"Rain, mm"
1973,150
1974,35
1975,320
1976,135
1977,24
1978,137
1979,69
1980,53
1981,73
1982,51
1983,1359
1984,53
1985,4
1986,49
1987,622
1988,1
1989,4
1990,48
1991,195
1992,209
1993,234
1994,51
1995,66
1996,2
1997,368
1998,922
1999,30
2000,50
2001,96
2002,185
2003,16
2004,25
2005,121
2006,27
2007,133
2008,205
2009,85
2010,172
2011,381
2012,316
