Variable,1976-77,1984-86
Beak width (BW),0.53,-0.17
Beak depth (BD),0.63,-0.16
Beak length (BL),0.54,-0.03
Tarsus length (TS),0.43,-0.09
Wing (WG),0.72,-0.08
Weight (WT),0.74,-0.11
