year,Average,95% CI,upper CL,lower CL
76,0.776,0.319744681,1.095744681,0.457446809
78,0.843,0.231468085,1.074468085,0.606382979
81,0.644,0.20706383,0.85106383,0.446808511
83,0.747,0.178531915,0.925531915,0.563829787
84,0.569,0.239510638,0.808510638,0.340425532
87,0.695,0.134787234,0.829787234,0.574468085
91,0.811,0.146446809,0.957446809,0.680851064
,,,,
, , , ,
, , , ,
