ÃDH classes,Daphne Apr,Borrero Apr,Daphne Dec,Borrero Dec,Daphne July,Borrero July, , , , , , , 
1,19,0,0,0,5,35,,,,,,,
2,21,49,4,5,10,75,, , , , , , 
3,21,49,4,5,10,89,,,,,,,
4,41,76,79,16,26,97,,,,,,,
5,41,82,79,30,26,97,,,,,,,
6,41,82,79,30,26,97,,,,,,,
7,41,100,79,100,26,97,,,,,,,
8,75,,92,,75,100,,,,,,,
9,75,,92,,75,,,,,,,,
10,100,,100,,100,,,,,,,,
