Time period,N,Mean BD,Mean adjusted,SE
Jul-75,214,9.466,9.24,0.051
Jan-76,387,9.467,9.24,0.041
Mar-76,408,9.465,9.24,0.040
Jun-76,640,9.418,9.19,0.033
Dec-76,442,9.483,9.25,0.040
Mar-77,327,9.512,9.28,0.046
Jun-77,194,9.727,9.50,0.059
Dec-77,97,9.929,9.70,0.084
Mar-78,85,9.964,9.73,0.088
Jun-78,68,10.025,9.80,0.093
Jan-79,61,10.044,9.81,0.101
