,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EARLY, ,,MIDDLE,,,LATE,,,,, ,,,,,,,,,,,,,,,,,,
1973,scandens,14.55,9.28,1991,13.93,9.07,1999,13.43,9.02,,,,,,,,,,,,,,,,,,,,,,
1974,scandens,14.57,9.21,1992,13.75,9.01,2000,13.15,9.08,,,,,,,,,,,,,,,,,,,,,,
1975,scandens,14.14,8.94,1993,13.85,9.09,2001,13.31,8.91,,,,,,,,,,,,,,,,,,,,,,
1976,scandens,14.41,9.06,1994,13.84,9.1,2002,13.39,9.01,,,,,,,,,,,,,,,,,,,,,,
1977,scandens,14.55,9.14,1995,13.87,9.12,2003,13.4,9.01,,,,,,,,,,,,,,,,,,,,,,
1978,scandens,14.52,9.35,1996,13.85,9.15,2004,13.51,9.09,,,,,,,,,,,,,,,,,,,,,,
1979,scandens,14.48,9.26,1997,13.84,9.19,2005,13.13,9.02,,,,,,,,,,,,,,,,,,,,,,
1980,scandens,14.61,9.31,1998,13.68,9.07,2006,13.12,9.03,,,,,,,,,,,,,,,,,,,,,,
1981,scandens,14.44,9.23,.,.,.,2007,13.22,9.13,,,,,,,,,,,,,,,,,,,,,,
1982,scandens,14.45,9.25,.,.,.,2008,13.31,9.08,,,,,,,,,,,,,,,,,,,,,,
1983,scandens,14.36,9.16,.,.,.,2009,13.33,9.08,,,,,,,,,,,,,,,,,,,,,,
1984,scandens,14.25,9.1,.,.,.,2010,13.3,9.07,,,,,,,,,,,,,,,,,,,,,,
1985,scandens,14.23,9.07,.,.,.,2011,13.35,9.1,,,,,,,,,,,,,,,,,,,,,,
1986,scandens,14.4,9.22,.,.,.,2012,13.41,9.19,,,,,,,,,,,,,,,,,,,,,,
1987,scandens,14.2,9.14,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,
1988,scandens,14.2,9.14,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,
1989,scandens,14.27,9.14,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,
1990,scandens,14.28,9.14,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
