Year,small seeds,large seeds
1976,700,850
1977,100,900
1978,250,500
1979,270,970
1980,50,1300
1981,200,1200
1982,25,50
1983,300,100
1984,1800,300
1985,2200,300
1986,1600,250
1987,3050,600
1988,3300,175
1989,4400,300
1990,1250,50
1991,1450,10
