year,fortis mean,upper CL,lower CL,scandens mean,upper CL,lower CL
76,10,15,5.5,.,.,.
78,7.3,12.1,5.2,.,.,.
81,7.5,10.5,5.8,3,3.8,2.4
83,7.2,9.5,5.9,2.5,3,1.9
84,7.2,9.2,6.2,.,.,.
87,8.2,10.1,7,3.3,5,2.4
91,9.1,11.2,7.8,.,.,.
,,,,,,
 , , ,,,,
