Diet and year,Diet,frequencies,,,,,,
1985-86,fortis,magnirostris,scandens,fuliginosa,,,,
Tribulus,0.207317073,0.8,0,0,,,,
O. seed/fruit,0.067073171,0.08,0.137931034,0,, ,,
O.buds/flower,0.036585366,0,0.663793103,0,, ,,
SSOG,0.256097561,0.08,0.077586207,0.175,, , , 
SS on plant,0.262195122,0,0.043103448,0.75,,,,
Others,0.158536585,0.04,0.077586207,0.075,,,,
