Weight,numbers,Wing,numbers,beak length,numbers,Beak depth,numbers
>-2.2,0,-3,2,-0.4,1,-0.5,1
-2.2,1,-2,5,-0.3,1,-0.4,6
-1.7,1,-1,11,-0.2,3,-0.3,7
-1.2,9,0,27,-0.1,12,-0.2,18
-0.7,8,1,16,0,12,-0.1,6
0,16,2,5,0.1,15,0,18
0.7,11,3,2,0.2,10,0.1,5
1.2,10,.,.,0.3,9,0.2,3
1.7,7,.,.,0.4,6,0.3,2
2.2,4,.,.,.,.,0.6,1
>2.2,2,.,.,.,.,0.8,2
